id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
204,2026-06-08T14:52:08.591943+00:00,en,87,self_awareness,78,100,17,83,3,3,3,1,0,3,1,3,2,3
205,2026-06-08T22:25:41.444871+00:00,en,89,empathy,89,78,50,83,3,2,2,1,2,2,3,3,2,3
206,2026-06-09T00:15:44.35026+00:00,en,69,empathy,89,78,67,33,3,2,2,3,1,3,2,3,1,1
207,2026-06-09T02:16:01.043835+00:00,en,157,self_awareness,100,100,100,67,3,3,3,3,3,3,3,3,3,1
208,2026-06-09T02:24:22.209298+00:00,en,60,empathy,89,67,33,83,3,2,1,1,1,3,3,2,2,3
209,2026-06-09T02:58:22.450453+00:00,en,46,self_awareness,78,100,33,33,3,3,3,1,1,2,3,2,2,0
210,2026-06-09T04:04:41.679+00:00,,,self_awareness,100,100,67,100,3,3,3,3,1,3,3,3,3,3
211,2026-06-09T04:04:42.378905+00:00,en,50,self_awareness,100,100,67,100,3,3,3,3,1,3,3,3,3,3
212,2026-06-09T04:31:42.889484+00:00,en,44,self_awareness,78,78,50,67,2,2,3,2,1,2,3,2,2,2
213,2026-06-09T05:01:49.40807+00:00,,65,social_skills,67,67,67,83,1,2,3,2,2,3,2,1,3,2
214,2026-06-09T06:18:04.210616+00:00,en,57,social_skills,89,56,67,100,2,3,0,2,2,3,3,2,3,3
215,2026-06-09T06:27:58.40573+00:00,en,45,self_awareness,100,100,83,100,3,3,3,2,3,3,3,3,3,3
216,2026-06-09T11:29:40.381808+00:00,en,133,empathy,89,56,67,83,2,1,2,3,1,3,3,2,2,3
217,2026-06-09T12:30:40.406828+00:00,en,99,empathy,100,89,83,83,3,3,2,2,3,3,3,3,3,2
218,2026-06-09T16:39:26.314763+00:00,en,32,empathy,100,89,50,100,2,3,3,1,2,3,3,3,3,3
219,2026-06-09T18:12:58.581378+00:00,,125,self_awareness,67,78,33,50,2,2,3,1,1,2,2,2,2,1
220,2026-06-09T19:58:41.107686+00:00,en,51,self_awareness,89,100,33,100,3,3,3,2,0,3,3,2,3,3
221,2026-06-09T23:05:23.19455+00:00,,58,empathy,78,67,67,33,2,2,2,2,2,1,3,3,2,0
222,2026-06-10T01:54:25.807482+00:00,en,49,empathy,100,89,50,100,3,2,3,0,3,3,3,3,3,3
